utc,time,nav_type,latitude,longitude,altitude,speed,heading,ehpe,evpe,hdop,signal_strength_4th
1345839348,Fri Aug 24 21:15:48 2012,0x0214,45.5396524,-122.7265181,86.88,2.15,345,16.14,1.55,7,27
1345839349,Fri Aug 24 21:15:49 2012,0x0214,45.53967,-122.7265405,86.88,2.03,312,16.14,1.55,7,27
1345839350,Fri Aug 24 21:15:50 2012,0x0214,45.5396876,-122.7265597,86.88,1.37,324,16.14,1.55,7,27
1345839351,Fri Aug 24 21:15:51 2012,0x0214,45.5397132,-122.7265677,86.88,1.82,354,16.14,1.55,7,27
1345839352,Fri Aug 24 21:15:52 2012,0x0214,45.5397484,-122.7265581,86.72,2.82,13.5,16.14,1.55,7,27
1345839353,Fri Aug 24 21:15:53 2012,0x0214,45.5397884,-122.7265453,86.72,2.9,16.5,16.14,1.55,7,27
1345839354,Fri Aug 24 21:15:54 2012,0x0214,45.5398316,-122.7265325,86.56,3.15,13.5,13.94,1.55,7,27
1345839355,Fri Aug 24 21:15:55 2012,0x0214,45.5398828,-122.7265197,86.56,3.8,13.5,15.37,1.55,7,27
1345839356,Fri Aug 24 21:15:56 2012,0x0214,45.5399324,-122.7264973,86.56,3.51,30,15.37,1.55,7,27
1345839357,Fri Aug 24 21:15:57 2012,0x0214,45.5399852,-122.7264685,86.4,3.96,31.5,16.14,1.55,7,27
1345839358,Fri Aug 24 21:15:58 2012,0x0214,45.5400268,-122.7264525,86.4,2.99,25.5,16.14,1.55,7,27
1345839359,Fri Aug 24 21:15:59 2012,0x0214,45.5400732,-122.7264397,86.56,2.88,18,16.14,1.55,7,27
1345839360,Fri Aug 24 21:16:00 2012,0x0214,45.5401196,-122.7264221,86.56,4.2,15,16.95,1.55,7,27
1345839361,Fri Aug 24 21:16:01 2012,0x0214,45.5401708,-122.7264125,86.56,4.93,9,17.8,1.55,7,27
1345839362,Fri Aug 24 21:16:02 2012,0x0214,45.5402364,-122.7264013,86.56,6.13,7.5,17.8,1.55,7,27
1345839363,Fri Aug 24 21:16:03 2012,0x0214,45.5402908,-122.7263869,86.4,5.61,7.5,18.69,1.55,7,28
1345839364,Fri Aug 24 21:16:04 2012,0x0214,45.5403356,-122.7263789,86.4,4.64,7.5,18.69,1.55,7,27
1345839365,Fri Aug 24 21:16:05 2012,0x0214,45.5403916,-122.7263677,86.4,5.5,3,18.69,1.55,7,27
1345839366,Fri Aug 24 21:16:06 2012,0x0214,45.5404268,-122.7263597,86.24,4.83,4.5,17.8,1.55,7,30
1345839367,Fri Aug 24 21:16:07 2012,0x0214,45.5404652,-122.7263485,86.24,4.04,12,17.8,1.55,7,30
1345839368,Fri Aug 24 21:16:08 2012,0x0214,45.5405196,-122.7263389,86.24,4.59,6,19.62,1.55,7,30
1345839369,Fri Aug 24 21:16:09 2012,0x0214,45.5405612,-122.7263357,86.08,3.37,4.5,19.62,1.55,7,31
1345839370,Fri Aug 24 21:16:10 2012,0x0214,45.540598,-122.7263341,86.24,2.9,16.5,17.8,1.55,7,30
1345839371,Fri Aug 24 21:16:11 2012,0x0214,45.5406268,-122.7263309,86.24,2.05,13.5,17.8,1.55,7,27
1345839372,Fri Aug 24 21:16:12 2012,0x0214,45.5406508,-122.7263389,86.24,1.99,351,17.8,1.55,7,27
1345839373,Fri Aug 24 21:16:13 2012,0x0214,45.5406588,-122.7263533,86.4,1.16,339,16.95,1.55,7,27
1345839374,Fri Aug 24 21:16:14 2012,0x0214,45.5406684,-122.7263693,86.4,0.96,295.5,16.95,1.55,7,27
1345839375,Fri Aug 24 21:16:15 2012,0x0214,45.5406876,-122.7263869,86.4,1.65,321,16.95,1.55,7,27
1345839376,Fri Aug 24 21:16:16 2012,0x0214,45.5407004,-122.7263933,86.24,1.1,352.5,16.14,1.55,7,27
1345839377,Fri Aug 24 21:16:17 2012,0x0214,45.5407164,-122.7263757,86.24,1.76,61.5,15.37,1.55,7,28
1345839378,Fri Aug 24 21:16:18 2012,0x0214,45.5407292,-122.7263533,86.08,1.47,64.5,16.14,1.55,7,31
1345839379,Fri Aug 24 21:16:19 2012,0x0214,45.5407372,-122.7263277,86.08,2.09,60,15.37,1.55,7,31
1345839380,Fri Aug 24 21:16:20 2012,0x0214,45.54075,-122.7263197,86.24,1.73,12,15.37,1.55,7,28
1345839381,Fri Aug 24 21:16:21 2012,0x0214,45.5407692,-122.7263229,86.24,1.39,358.5,13.28,1.55,7,28
1345839382,Fri Aug 24 21:16:22 2012,0x0214,45.5407804,-122.7263357,86.24,0.99,337.5,12.65,1.55,7,28
1345839383,Fri Aug 24 21:16:23 2012,0x0214,45.5407948,-122.7263485,86.24,1.46,354,13.94,1.55,7,27
1345839384,Fri Aug 24 21:16:24 2012,0x0214,45.540806,-122.7263677,86.4,1.8,315,13.94,1.55,7,27
1345839385,Fri Aug 24 21:16:25 2012,0x0214,45.5407996,-122.7264013,86.4,1.78,270,13.94,1.55,7,27
1345839386,Fri Aug 24 21:16:26 2012,0x0214,45.5407916,-122.7264365,86.4,2.33,255,13.94,1.55,7,27
1345839387,Fri Aug 24 21:16:27 2012,0x0214,45.5407836,-122.7264701,86.4,2.24,265.5,13.94,1.55,7,27
1345839388,Fri Aug 24 21:16:28 2012,0x0214,45.540774,-122.7264957,86.4,1.8,243,13.94,1.55,7,27
1345839389,Fri Aug 24 21:16:29 2012,0x0204,45.5407692,-122.7265197,86.4,2.5,247.5,10.92,1.55,10,27
1345839390,Fri Aug 24 21:16:30 2012,0x0204,45.540758,-122.7265469,86.56,2.31,234,9.91,1.55,10,28
1345839391,Fri Aug 24 21:16:31 2012,0x0204,45.5407468,-122.7265725,86.72,2.43,234,9.91,1.62,10,30
1345839392,Fri Aug 24 21:16:32 2012,0x0204,45.5407308,-122.7266029,86.88,2.82,237,9.91,1.62,10,31
1345839393,Fri Aug 24 21:16:33 2012,0x0204,45.5407132,-122.7266269,87.04,2.45,216,9.91,1.62,10,31
1345839394,Fri Aug 24 21:16:34 2012,0x0204,45.5406924,-122.7266445,87.04,2.79,217.5,9.91,1.62,10,31
1345839395,Fri Aug 24 21:16:35 2012,0x0204,45.5406764,-122.7266589,87.2,2.22,205.5,9.44,1.62,10,30
1345839396,Fri Aug 24 21:16:36 2012,0x0204,45.5406556,-122.7266717,87.36,2.58,223.5,10.4,1.71,10,30
1345839397,Fri Aug 24 21:16:37 2012,0x0204,45.540638,-122.7266941,87.52,2.43,226.5,10.4,1.71,10,30
1345839398,Fri Aug 24 21:16:38 2012,0x0204,45.540622,-122.7267053,87.68,1.61,208.5,10.4,1.71,10,28
1345839399,Fri Aug 24 21:16:39 2012,0x0204,45.540606,-122.7267245,87.84,1.71,228,10.4,1.71,10,28
1345839400,Fri Aug 24 21:16:40 2012,0x0204,45.5405868,-122.7267501,87.84,2.07,229.5,9.44,1.71,10,28
1345839401,Fri Aug 24 21:16:41 2012,0x0204,45.5405692,-122.7267661,88,2.07,210,9.44,1.71,10,30
1345839402,Fri Aug 24 21:16:42 2012,0x0204,45.5405484,-122.7267725,88.16,2.6,208.5,9.91,1.79,10,30
1345839403,Fri Aug 24 21:16:43 2012,0x0204,45.540526,-122.7267805,88.16,2.11,201,9.44,1.79,10,30
1345839404,Fri Aug 24 21:16:44 2012,0x0204,45.5404988,-122.7267821,88.32,2.82,192,10.4,1.79,10,24
1345839405,Fri Aug 24 21:16:45 2012,0x0204,45.5404716,-122.7267901,88.48,2.88,208.5,9.44,1.79,10,24
1345839406,Fri Aug 24 21:16:46 2012,0x0204,45.540446,-122.7267997,88.64,2.82,201,8.99,1.79,10,25
1345839407,Fri Aug 24 21:16:47 2012,0x0204,45.540422,-122.7268045,88.8,2.29,201,8.99,1.79,10,25
1345839408,Fri Aug 24 21:16:48 2012,0x0204,45.5403964,-122.7268109,88.8,2.85,193.5,8.99,1.79,10,25
1345839409,Fri Aug 24 21:16:49 2012,0x0204,45.5403644,-122.7268141,89.12,3.27,192,8.99,1.88,10,25
1345839410,Fri Aug 24 21:16:50 2012,0x0204,45.5403372,-122.7268157,89.28,2.26,193.5,9.91,1.88,10,25
1345839411,Fri Aug 24 21:16:51 2012,0x0204,45.5403068,-122.7268205,89.44,2.6,199.5,9.91,1.88,10,25
1345839412,Fri Aug 24 21:16:52 2012,0x0204,45.5402764,-122.7268301,89.6,2.63,204,8.99,1.88,10,25
1345839413,Fri Aug 24 21:16:53 2012,0x0204,45.5402492,-122.7268349,89.76,2.76,195,9.91,1.88,10,25
1345839414,Fri Aug 24 21:16:54 2012,0x0204,45.5402204,-122.7268477,89.92,2.96,207,9.91,1.88,10,25
1345839415,Fri Aug 24 21:16:55 2012,0x0204,45.54019,-122.7268685,90.24,3.37,214.5,9.91,1.88,10,25
1345839416,Fri Aug 24 21:16:56 2012,0x0204,45.5401628,-122.7268989,90.4,3.48,229.5,9.44,1.88,10,25
1345839417,Fri Aug 24 21:16:57 2012,0x0204,45.5401452,-122.7269405,90.56,3.05,243,8.56,1.98,10,30
1345839418,Fri Aug 24 21:16:58 2012,0x0204,45.5401324,-122.7269885,90.56,3.15,259.5,8.99,1.98,10,30
1345839419,Fri Aug 24 21:16:59 2012,0x0204,45.5401228,-122.7270349,90.72,2.88,256.5,9.91,1.98,10,30
1345839420,Fri Aug 24 21:17:00 2012,0x0204,45.5401132,-122.7270717,90.72,2.24,258,9.91,1.98,10,30
1345839421,Fri Aug 24 21:17:01 2012,0x0204,45.5401052,-122.7271005,90.88,1.58,282,9.91,1.98,10,27
1345839422,Fri Aug 24 21:17:02 2012,0x0204,45.5400972,-122.7271213,90.88,0.97,244.5,10.4,1.98,10,27
1345839423,Fri Aug 24 21:17:03 2012,0x0204,45.5400828,-122.7271469,91.04,1.91,250.5,11.47,1.98,10,27
1345839424,Fri Aug 24 21:17:04 2012,0x0204,45.5400684,-122.7271741,91.2,1.68,247.5,10.4,1.98,10,27
1345839425,Fri Aug 24 21:17:05 2012,0x0204,45.540054,-122.7272029,91.36,1.4,267,10.4,1.98,10,27
1345839426,Fri Aug 24 21:17:06 2012,0x0204,45.5400412,-122.7272413,91.68,2.33,267,10.4,2.08,10,27
1345839427,Fri Aug 24 21:17:07 2012,0x0204,45.5400268,-122.7272925,91.84,2.99,259.5,11.47,2.08,10,27
1345839428,Fri Aug 24 21:17:08 2012,0x0204,45.5400092,-122.7273453,92.16,3.21,246,11.47,2.08,10,27
1345839429,Fri Aug 24 21:17:09 2012,0x0204,45.53999,-122.7273885,92.32,2.96,241.5,12.04,2.08,10,27
1345839430,Fri Aug 24 21:17:10 2012,0x0204,45.5399708,-122.7274141,92.48,2.22,232.5,11.47,2.08,10,27
1345839431,Fri Aug 24 21:17:11 2012,0x0204,45.5399484,-122.7274269,92.96,2.11,207,10.4,2.08,10,27
1345839432,Fri Aug 24 21:17:12 2012,0x0204,45.5399244,-122.7274253,93.12,1.97,183,10.4,2.08,10,27
1345839433,Fri Aug 24 21:17:13 2012,0x0204,45.5398988,-122.7274173,93.28,2.15,171,10.4,2.08,10,27
1345839434,Fri Aug 24 21:17:14 2012,0x0204,45.5398764,-122.7274109,93.44,1.52,190.5,10.4,2.08,10,27
1345839435,Fri Aug 24 21:17:15 2012,0x0204,45.539854,-122.7274061,93.76,1.99,187.5,8.99,2.08,10,27
1345839436,Fri Aug 24 21:17:16 2012,0x0204,45.53983,-122.7273981,93.92,2.09,181.5,9.44,2.08,10,27
1345839437,Fri Aug 24 21:17:17 2012,0x0204,45.5398028,-122.7273917,94.4,2.13,187.5,10.4,2.08,10,27
1345839438,Fri Aug 24 21:17:18 2012,0x0204,45.539774,-122.7273853,94.72,2.38,187.5,10.4,2.08,10,27
1345839439,Fri Aug 24 21:17:19 2012,0x0204,45.5397468,-122.7273805,95.04,2.24,178.5,8.99,2.18,10,27
1345839440,Fri Aug 24 21:17:20 2012,0x0204,45.5397116,-122.7273741,95.04,3.44,180,9.44,2.18,10,27
1345839441,Fri Aug 24 21:17:21 2012,0x0204,45.5396732,-122.7273661,95.52,3.55,177,9.44,2.18,10,27
1345839442,Fri Aug 24 21:17:22 2012,0x0204,45.5396412,-122.7273549,95.68,2.53,177,9.44,2.18,10,27
1345839443,Fri Aug 24 21:17:23 2012,0x0204,45.539614,-122.7273437,95.68,2.4,184.5,9.44,2.18,10,27
1345839444,Fri Aug 24 21:17:24 2012,0x0204,45.5395836,-122.7273357,95.84,2.82,186,9.44,2.18,10,33
1345839445,Fri Aug 24 21:17:25 2012,0x0204,45.5395548,-122.7273197,96.16,2.6,171,9.91,2.18,10,33
1345839446,Fri Aug 24 21:17:26 2012,0x0204,45.539518,-122.7272989,96.48,3.65,165,9.91,2.18,10,31
1345839447,Fri Aug 24 21:17:27 2012,0x0204,45.5394828,-122.7272813,96.96,2.76,168,9.91,2.18,10,27
1345839448,Fri Aug 24 21:17:28 2012,0x0204,45.539454,-122.7272749,97.28,2.48,192,10.4,2.18,10,28
1345839449,Fri Aug 24 21:17:29 2012,0x0204,45.5394236,-122.7272733,97.6,2.93,186,10.4,2.18,10,30
1345839450,Fri Aug 24 21:17:30 2012,0x0204,45.5393932,-122.7272829,98.08,2.43,190.5,10.4,2.18,10,28
1345839451,Fri Aug 24 21:17:31 2012,0x0204,45.5393644,-122.7272989,98.4,2.79,213,10.4,2.18,10,28
1345839452,Fri Aug 24 21:17:32 2012,0x0204,45.5393388,-122.7273245,98.4,2.38,229.5,11.47,2.18,10,30
1345839453,Fri Aug 24 21:17:33 2012,0x0204,45.539318,-122.7273533,98.4,2.9,228,12.04,2.18,10,30
1345839454,Fri Aug 24 21:17:34 2012,0x0204,45.5392972,-122.7273805,98.24,2.4,234,10.4,2.18,7,30
1345839455,Fri Aug 24 21:17:35 2012,0x0204,45.5392812,-122.7274045,98.24,1.82,250.5,8.99,2.18,7,30
1345839456,Fri Aug 24 21:17:36 2012,0x0204,45.53927,-122.7274237,98.56,1.37,258,8.99,2.18,7,30
1345839457,Fri Aug 24 21:17:37 2012,0x0204,45.5392556,-122.7274461,99.04,1.31,249,9.44,2.18,7,30
